"frame","x [nm]","y [nm]","intensity [photon]"
2034,15709.04562,24461.24239,15201.18868
2034,19026.38895,5840.07452,133117.2117
2034,21097.16948,20422.4202,11796.29881
2034,22399.44994,9794.54133,31722.56039
2034,23412.94728,8036.13805,495554.69883
2034,23590.42631,15243.42639,27740.03303
2034,23694.32843,21515.04281,206507.50987
2034,24989.11537,12530.00518,36117.7353
2034,31455.77007,5817.36049,43855.51872
2034,31972.04418,2406.60296,79716.74601
2034,33634.73435,18571.76262,43830.38793
2034,36891.57646,18016.74963,13111.80608
2034,48776.31337,15254.31308,11514.8389
2034,51387.95348,16115.07303,15962.91694
2034,54624.60146,19185.57531,93647.32229
2035,2489.94442,3541.70538,277180.63009
2035,10995.53017,9774.98592,31904.87154
2035,14335.57966,13965.90267,27577.04123
2035,16436.46345,24731.87406,18753.99817
2035,19166.07541,6190.77455,12290.45443
2035,20724.90989,1261.77551,42742.63837
2035,21853.9427,20784.08028,30540.10237
2035,23118.83213,7084.09373,139495.14844
2035,23145.41318,15222.60564,23322.63804
2035,24961.85019,12449.62266,75262.094
2035,31344.56031,5539.11173,43462.16867
2035,32104.70614,2663.78959,31822.93958
2035,33429.89707,17882.22475,37760.64876
2035,36124.89003,17407.83821,13097.51807
2035,48161.28348,15492.40529,9671.34363
2035,49247.51212,23620.59406,24664.11248
2035,51190.76885,16489.47318,33412.23123
2035,55075.59189,19354.38514,32346.12214
2036,2492.11158,3341.33974,211902.20106
2036,11536.68146,2501.9019,7262.93977
2036,20709.38151,1283.25291,55467.3848
2036,20877.03641,9147.94635,27252.61399
2036,22608.42219,21294.01052,31346.24385
2036,23243.30754,6980.88312,17064.671
2036,23387.68587,14630.35599,27401.87093
2036,23864.57878,20770.99612,35845.71962
2036,32420.96299,3284.89329,17950.45271
2036,32405.46624,5393.17375,56233.48807
2036,33299.48488,18291.49223,13133.29303
2036,36989.97646,16430.09874,21218.70555
2036,48517.16638,15451.05016,22245.02183
2036,50109.59979,24372.33688,78755.67129
2036,50711.30646,16451.56785,14268.20694
2036,57255.87544,18924.22032,5396.07638
2037,1530.81442,20634.78014,18024.26958
2037,11423.39454,2694.60084,64065.56815
2037,12101.93653,9232.61945,27871.4822
2037,14564.57439,13067.54627,23201.64646
2037,16786.48218,22306.21765,9354.18232
2037,21946.1678,9275.96258,21953.23526
2037,22484.40251,20803.4878,9802.58102
2037,23273.42485,14813.40643,25439.65154
2037,23717.41752,7578.85332,76499.14203
2037,23853.84926,20832.59661,25031.68143
2037,32907.16153,5381.73474,38248.3476
2037,33143.03703,18294.26717,49462.5459
2037,37474.96794,16209.98122,10476.14717
2037,48672.6512,15138.99777,14330.54731
2037,50417.12732,17100.22989,36759.5506
2037,57469.52005,18195.81976,13867.40168
2038,5517.17492,22498.49786,8283.68989
2038,10754.8891,2242.1882,75584.21545
2038,12333.27155,9521.8324,50920.35029
2038,14069.52319,2771.03298,160014.57168
2038,14944.79377,12643.06818,9789.40315
2038,20818.59299,9352.83397,15341.272
2038,22392.19699,21080.46797,25769.91545
2038,22671.09536,14802.03813,21161.69665
2038,22941.42212,7520.85569,15697.30276
2038,33402.11721,16772.85264,28110.98665
2038,33346.67195,18197.15295,21732.38836
2038,33796.08914,4926.93964,37326.12079
2038,37406.3164,14171.45521,4582.05777
2038,40025.53799,24007.56642,7208.71258
2038,48730.42406,3265.01233,6608.35684
2038,48706.36365,14583.01566,14457.68727
2039,6020.31029,22687.75503,247150.16138
2039,12603.35409,10386.49246,33148.57881
2039,14283.01965,2022.36025,89307.74162
2039,16283.3699,13238.04015,24500.56704
2039,17104.89419,23756.12724,60336.41907
2039,22080.0451,1080.37969,63161.47193
2039,22512.91154,15223.7266,24003.19198
2039,22492.02547,21332.61567,6000.45977
2039,22906.21499,7054.69219,347810.40736
2039,30412.88006,9914.9962,7919.59262
2039,33201.38429,23320.23338,5091.08622
2039,33402.38046,17947.59687,38357.61043
2039,33603.4563,3913.21418,198751.62651
2039,48691.4595,14611.27648,40599.92507
2039,48893.21166,3307.25182,5398.99312
2039,49539.29116,18022.31269,25557.46854
2040,1611.07014,9314.88579,34799.2717
2040,5658.77736,21483.14141,24237.1049
2040,7749.86323,24741.44592,31577.24921
2040,13496.87015,10351.74796,34024.85641
2040,15148.319,1501.93106,241566.71273
2040,22444.83226,14957.89731,228853.77692
2040,22444.3759,21833.27157,18626.06654
2040,22786.4449,7366.46434,31601.33797
2040,30118.59325,8935.81519,30858.76655
2040,32315.64896,13479.85441,22443.91536
2040,34405.41942,17668.78555,32274.27348
2040,40675.36243,8845.80342,14219.20632
2040,49388.31462,14847.56289,18874.87273
2040,49772.33899,3175.70615,27808.72905
2040,50204.52415,17785.15399,40294.72229
2040,52366.36645,18096.86025,35442.9373
2040,53610.42356,11967.28322,107769.82061
2041,1903.29363,10119.20047,23766.53629
2041,6074.48724,21576.88177,23547.75753
2041,12354.55903,6103.74499,7841.67142
2041,14790.81194,2379.54075,409814.57372
2041,16719.97401,23572.87998,17706.30173
2041,21506.49895,7424.38158,73761.83658
2041,22813.2695,22486.0534,14881.15165
2041,30023.71148,9744.88306,28853.66143
2041,33258.27361,18501.72473,194617.94056
2041,35691.83498,17634.05952,62860.28479
2041,49892.34963,15154.50246,195838.66696
2041,50243.04467,3233.55276,36256.28841
2041,51766.8532,18391.23579,27133.66093
2041,53469.6887,12251.11229,14069.68619
2041,57428.80031,18477.8701,8032.6031
2041,57954.24031,14371.15679,5112.0886
2042,12135.47095,1688.0202,105075.22467
2042,12835.60321,6314.27588,34667.37393
2042,13445.192,10031.76207,26613.20247
2042,14806.11345,2604.28796,442325.87908
2042,20984.00477,6696.40515,5725.02437
2042,22757.95723,22312.68926,7952.80419
2042,25751.51034,13311.89065,5299.35485
2042,30091.2794,3426.31365,12332.18065
2042,34015.42534,23352.76517,8736.0235
2042,36126.69851,16669.62215,47037.50659
2042,49767.50566,14744.17724,11358.59436
2042,49963.27871,17481.16267,33692.33254
2042,50180.13646,3150.14063,22329.97888
2042,59077.90573,14565.2008,68752.71334
2042,61785.82866,13887.93605,10942.15
2043,2654.49594,8978.66284,30902.69831
2043,10668.81662,3885.73724,148792.1797
2043,11772.84003,5813.68614,23104.63541
2043,13479.80186,10196.16509,23584.8848
2043,14164.42053,6629.80355,215892.63182
2043,14856.50734,1687.18388,2160.62966
2043,21854.19609,6972.3635,346813.07986
2043,22643.2531,22172.7465,17476.42943
2043,33284.15034,18508.44483,37712.63857
2043,35267.31289,15611.90496,54091.44378
2043,50708.66869,3191.10635,4504.22702
2043,52032.15085,17499.90531,10820.63349
2043,53279.53732,12530.24722,5579.74568
2043,58993.02598,14486.29944,51923.16728
2044,2796.66666,10300.42478,8373.79082
2044,10316.15221,2978.50188,57912.88764
2044,11331.84555,1225.71135,76712.38239
2044,14146.97353,9864.42111,22012.10277
2044,14622.18038,7391.4678,13511.23716
2044,15776.55294,22646.00302,126342.66434
2044,21917.32163,6837.59809,27081.00016
2044,22385.58045,22588.26893,28881.87136
2044,29680.91016,7828.82885,37012.67338
2044,30408.33789,2205.89334,8036.22277
2044,33653.00935,18524.50486,21461.82593
2044,35061.40084,15774.33099,31310.64673
2044,50899.20382,3465.91105,28045.31755
2044,51590.80369,16943.50159,17212.14089
2044,57756.03377,18161.43446,37622.65592
2044,58594.7465,14366.1087,47069.15227
2045,1533.72044,20133.52846,22924.41019
2045,1811.06742,6353.3991,189525.38851
2045,3388.60447,11344.01445,4713.80245
2045,4023.2191,18557.66387,38556.88906
2045,7047.08381,24522.95039,18053.51146
2045,9467.6314,12978.17026,24089.15896
2045,11501.5012,1295.95915,87738.92906
2045,15312.88072,1878.1119,220526.56616
2045,15921.19143,7051.69594,49188.5396
2045,16519.82564,23390.19194,8623.21278
2045,17605.59714,24799.45056,9292.81774
2045,21931.64133,7515.54245,131140.56501
2045,22342.37553,22046.62117,11883.43435
2045,23729.40911,19157.08145,2077.80014
2045,29662.49758,7601.21038,37686.07683
2045,33271.34844,23575.75032,18567.06823
2045,34144.73283,18862.97551,95361.43766
2045,38109.5802,23830.75195,27570.51039
2045,50566.71885,3983.75031,199508.10816
2045,51432.8962,17429.36766,33813.38996
2045,53706.40828,12437.81592,10070.39385
2045,54908.47075,8466.15864,9084.47501
2045,56001.93007,1321.62582,40220.62247
2046,1848.42856,18956.56738,163050.14635
2046,2334.84723,5404.93153,28903.86245
2046,2464.46119,11733.08965,15360.24969
2046,4471.06826,18846.74077,20228.65865
2046,7194.31944,24828.5038,27031.42542
2046,8564.21768,3873.26146,317159.70197
2046,9014.19694,13835.66877,141065.72746
2046,11070.84821,1270.66076,83914.61091
2046,15340.75126,23171.8812,34243.11724
2046,16279.9878,2357.88881,815585.03664
2046,20169.81439,7849.81813,33747.58163
2046,22049.5478,22249.28939,7899.41972
2046,22748.81151,8551.71019,212079.6336
2046,29583.25187,8062.31255,37459.3437
2046,46283.44095,2486.3478,4484.89189
2046,50363.91497,3697.61341,10974.27522
2046,50535.23803,17541.64011,41321.19746
2046,55348.15561,8599.3506,14703.52266
2046,58838.67061,14426.28405,8468.66098
2047,6872.09341,24525.55662,3172.15932
2047,8104.10919,14154.14655,24616.92674
2047,9259.84497,3902.19008,61049.88351
2047,10473.52662,1452.64983,58319.23156
2047,16166.07894,7066.05884,44367.2854
2047,20967.66981,8203.66764,4718.81344
2047,22504.87065,22289.86237,3646.07593
2047,23085.71301,8156.36246,139002.11318
2047,23487.07144,19969.28583,27877.4946
2047,30515.67288,8235.80311,30765.82162
2047,32008.37953,4702.45693,7051.99884
2047,53416.27524,12841.58872,2565.25139
2047,55747.95318,8335.37023,38576.81337
2048,1096.9846,13519.96036,43325.94128
2048,1583.69119,3014.54403,46167.51576
2048,3238.45112,8915.17884,19762.07274
2048,8688.5588,14663.10564,15482.02948
2048,10066.38162,2398.07843,360436.91022
2048,23129.50211,22531.95309,22256.52521
2048,23526.00552,7966.98584,195067.41837
2048,23802.31932,20305.30048,236734.68001
2048,29672.11561,8330.36252,54837.38745
2048,31957.8003,4492.08039,265012.62617
2048,44745.03327,1302.7978,26456.56489
2048,52770.07283,13239.01824,8741.03943
2048,56147.49418,7930.78657,77479.80243
2048,58743.12063,6184.66219,12827.64131
2049,2170.48324,9886.74223,14098.16003
2049,2055.09183,13274.96671,14357.315
2049,4573.86682,15784.9079,41919.93059
2049,9705.93435,15989.61079,15627.58896
2049,9995.99339,2259.166,51286.98934
2049,13548.57632,10990.38864,24795.8553
2049,20994.55217,7776.22752,302903.18689
2049,21372.81742,17710.65078,250821.30315
2049,22838.19357,23102.99967,9615.81981
2049,23034.41021,20502.83706,43999.79926
2049,23710.91831,7429.80389,726013.65922
2049,29352.82455,8736.07785,167234.45254
2049,31297.86627,23176.58038,10446.40072
2049,32219.61337,4906.70163,281341.64426
2049,41438.50034,12018.30665,22767.45747
2049,56365.96451,7358.70858,147618.79069
2049,57830.31275,14462.87186,170741.41679
2050,10056.88541,2526.99329,59840.63562
2050,10612.70413,16216.43904,2802.78999
2050,13821.42793,10606.70362,36199.07482
2050,15553.48471,14298.95961,23569.96688
2050,22189.90781,16977.96161,7748.85959
2050,22576.14126,7270.39545,115112.03724
2050,23366.75172,22048.32956,26160.85446
2050,23736.25539,19297.15304,32430.69919
2050,30135.05826,23071.35767,30534.04355
2050,32167.33588,4721.75569,47397.38343
2050,41749.56934,12227.5649,29775.83713
2050,49477.15208,17670.11547,156587.68035
2050,56110.28639,8068.79074,170535.94234
2050,58259.54213,15052.46653,34087.89667
2051,1054.50082,12198.1562,36765.92865
2051,1048.17126,13787.54005,14685.65161
2051,1385.80869,10203.66656,19458.64709
2051,4883.76542,13521.86171,10536.06095
2051,10438.72697,1698.23761,470505.0091
2051,14164.12151,21072.65941,20094.09276
2051,14571.9999,10856.75552,30756.06226
2051,16808.3962,15998.8907,20854.11152
2051,22004.90962,17007.7242,10294.61944
2051,22512.0775,7271.37919,150397.19905
2051,23970.95551,22205.90266,51851.68635
2051,24097.95936,18788.16063,16711.89597
2051,28890.821,5973.5759,110111.81521
2051,29442.81188,23092.68907,16161.69857
2051,30684.93993,4995.24679,17501.51761
2051,31593.33849,11271.61281,50732.58614
2051,45526.03957,11328.74939,2357.6392
2051,50719.69137,3995.82761,191836.06634
2051,56004.88095,7654.65526,76534.31437
2051,60152.61576,5421.9158,136094.99815
2052,4932.27017,14141.55344,13557.03306
2052,10798.50089,1948.35621,261404.13894
2052,14986.01865,10295.21013,12671.32307
2052,16465.42871,11076.49702,17684.1391
2052,21637.18879,17588.2274,62262.78271
2052,22654.98901,7193.86062,108266.46374
2052,23527.82626,21475.48349,55954.42275
2052,23751.99877,19272.47854,19976.88749
2052,28538.31489,5953.11315,41493.32178
2052,31603.91729,16302.44499,65361.43795
2052,39205.37011,3428.14247,5028.30325
2052,42006.46901,12260.93831,3525.27331
2052,44243.93411,11207.51216,13559.64669
2052,50786.39863,3578.28231,117812.95369
2052,56628.54597,15741.22395,4253.46119
2052,56731.06904,7657.67127,24553.20799
2052,56843.66636,6090.28345,14971.93592
2052,58000.05708,15316.78578,5659.26853
2053,1883.10098,5404.41278,14303.05722
2053,3448.33464,17881.39111,9205.75664
2053,11494.0819,2800.19834,66343.55852
2053,11536.77937,15486.45079,20501.56993
2053,13682.88869,5767.69951,83970.60955
2053,14955.50932,19832.30027,14940.60948
2053,15681.00582,10744.67055,17362.32955
2053,21238.20865,18476.78142,90557.97814
2053,21889.51291,7559.31667,121001.02728
2053,23813.65135,22834.77462,2354.81008
2053,27995.5214,6524.19952,27476.88914
2053,34314.97588,18839.29664,245193.41701
2053,41590.51654,11956.57386,23743.36756
2053,46064.73472,10722.0183,22523.11619
2053,51130.35275,3715.04449,221966.79514
2053,57032.45644,6400.21536,11032.94211
2053,57152.34927,8187.49325,141047.74832
2053,57348.36715,15475.33814,21501.50937
2053,61313.63987,21338.0505,10661.52745
